buy_date,sell_date,symbol,buy_price,sell_price,shares,cost,proceeds,profit,pct_return,cash_after
2025-10-23,2025-10-30,TER,138.47,172.62,80,11077.6,13809.6,2732.0,0.24662381743337905,13937.489999999989
2025-10-24,2025-10-31,WDC,129.3,155.38,107,13835.1,16625.66,2790.5599999999995,0.20170146945088938,16728.04999999999
2025-10-27,2025-11-03,MOH,163.87,152.5,102,16714.74,15555.0,-1159.7400000000016,-0.0693842680173309,15568.309999999987
2025-10-28,2025-11-04,MOH,165.0,147.51,94,15510.0,13865.939999999999,-1644.0600000000013,-0.10600000000000008,13924.249999999985
2025-10-29,2025-11-05,DAY,68.31,68.75,203,13866.93,13956.25,89.31999999999971,0.0064412238325281595,14013.569999999985
2025-10-30,2025-11-06,DAY,68.4,68.56,204,13953.6,13986.24,32.63999999999942,0.002339181286549666,14046.209999999985
2025-10-31,2025-11-07,DAY,68.8,68.41,204,14035.199999999999,13955.64,-79.55999999999949,-0.005668604651162755,13966.649999999985
2025-11-03,2025-11-10,EA,199.86,200.41,69,13790.34,13828.289999999999,37.94999999999891,0.0027519263484438315,14004.599999999984
2025-11-04,2025-11-11,EA,199.97,201.25,70,13997.9,14087.5,89.60000000000036,0.0064009601440216295,14094.199999999984
2025-11-05,2025-11-12,HOLX,74.2,74.45,189,14023.800000000001,14071.050000000001,47.25,0.0033692722371967652,14141.449999999984
2025-11-06,2025-11-13,HOLX,74.18,74.56,190,14094.2,14166.4,72.19999999999891,0.005122674575357161,14213.649999999983
2025-11-07,2025-11-14,HOLX,74.17,74.26,191,14166.470000000001,14183.660000000002,17.19000000000051,0.0012134286099501504,14230.839999999984
2025-11-10,2025-11-17,HOLX,74.12,74.17,191,14156.92,14166.470000000001,9.550000000001091,0.0006745817593093054,14240.389999999985
2025-11-11,2025-11-18,EG,329.54,320.71,43,14170.220000000001,13790.529999999999,-379.6900000000023,-0.026794926260848617,13860.699999999983
2025-11-12,2025-11-19,CI,265.01,273.22,52,13780.52,14207.440000000002,426.9200000000019,0.030979963020263523,14287.619999999984
2025-11-13,2025-11-20,CI,269.24,269.89,53,14269.720000000001,14304.17,34.44999999999891,0.0024142029416133535,14322.069999999983
2025-11-14,2025-11-21,SMCI,34.24,32.14,418,14312.320000000002,13434.52,-877.8000000000011,-0.06133177570093465,13444.269999999982
2025-11-17,2025-11-24,KMB,102.64,103.87,130,13343.2,13503.1,159.89999999999964,0.011983632112236917,13604.169999999982
2025-11-18,2025-11-25,IBKR,62.64,62.26,217,13592.880000000001,13510.42,-82.46000000000095,-0.006066411238825101,13521.709999999981
2025-11-19,2025-11-26,ZBH,89.18,96.57,151,13466.18,14582.07,1115.8899999999994,0.08286611347835833,14637.59999999998
2025-11-20,2025-11-28,L,105.59,108.42,138,14571.42,14961.960000000001,390.5400000000009,0.02680178047163563,15028.139999999981
2025-11-21,2025-12-01,Q,74.91,79.0,200,14982.0,15800.0,818.0,0.05459885195568015,15846.139999999981
2025-11-24,2025-12-02,J,130.26,133.49,121,15761.46,16152.29,390.83000000000175,0.02479656072470455,16236.969999999983
2025-11-25,2025-12-03,ORCL,194.08,200.33,83,16108.640000000001,16627.39,518.7499999999982,0.03220321516900236,16755.71999999998
2025-11-26,2025-12-04,AMD,210.05,216.88,79,16593.95,17133.52,539.5699999999997,0.03251606760295166,17295.28999999998
2025-11-28,2025-12-05,XYZ,65.73,61.26,263,17286.99,16111.38,-1175.6100000000024,-0.06800547695116399,16119.679999999977
2025-12-01,2025-12-08,DELL,131.71,138.62,122,16068.62,16911.64,843.0199999999986,0.05246374610887547,16962.699999999975
2025-12-02,2025-12-09,COIN,267.68,270.63,63,16863.84,17049.69,185.84999999999854,0.011020621637776363,17148.549999999974
2025-12-03,2025-12-10,COIN,268.0,273.2,63,16884.0,17211.6,327.59999999999854,0.019402985074626778,17476.149999999972
2025-12-04,2025-12-11,DAY,69.15,69.15,252,17425.800000000003,17425.800000000003,0.0,0.0,17476.149999999972
2025-12-05,2025-12-12,DAY,69.15,69.2,252,17425.800000000003,17438.4,12.599999999998545,0.0007230657989876243,17488.74999999997
2025-12-08,2025-12-15,DASH,224.65,228.58,77,17298.05,17600.66,302.6100000000006,0.017493879367905665,17791.35999999997
2025-12-09,2025-12-16,DAY,69.0,69.31,257,17733.0,17812.670000000002,79.67000000000189,0.0044927536231885125,17871.029999999973
2025-12-10,2025-12-17,DAY,68.95,69.35,259,17858.05,17961.649999999998,103.59999999999854,0.005801305293690999,17974.629999999972
2025-12-11,2025-12-18,AZO,3449.97,3384.27,5,17249.85,16921.35,-328.5,-0.019043643857772678,17646.129999999972
